PaymentID,TransactionID,CustomerID,PaymentDate,Amount,LateDays
P001,S001,C001,2024-07-05,1500,0
P002,S002,C003,2024-07-12,2000,5
P003,S003,C002,2024-07-20,1800,12
P004,S004,C005,2024-07-10,2200,0
P005,S005,C006,2024-07-25,1700,10
P006,S006,C007,2024-07-28,1600,13
P007,S007,C008,2024-07-19,2100,0
P008,S008,C009,2024-07-29,1900,10
P009,S009,C010,2024-08-01,2000,9
P010,S010,C011,2024-07-23,1800,0
P011,S011,C012,2024-08-05,2200,0
P012,S012,C013,2024-08-10,2000,5
P013,S013,C014,2024-08-12,1700,0
P014,S014,C015,2024-08-15,2300,8
P015,S015,C016,2024-08-18,2100,12
P016,S016,C017,2024-08-20,1900,0
P017,S017,C018,2024-08-22,1800,7
P018,S018,C019,2024-08-24,2000,0
P019,S019,C020,2024-08-26,2200,0
P020,S020,C021,2024-08-28,2100,6
P021,S021,C022,2024-09-05,1900,10
P022,S022,C023,2024-09-07,1800,0
P023,S023,C024,2024-09-10,2000,5
P024,S024,C025,2024-09-12,2100,0
P025,S025,C026,2024-09-15,2200,8
P026,S026,C027,2024-09-17,2300,0
P027,S027,C028,2024-09-20,2400,0
P028,S028,C029,2024-09-22,2000,7
P029,S029,C030,2024-09-24,2100,0
P030,S030,C031,2024-09-27,2200,0
P031,S031,C032,2024-10-02,2300,5
P032,S032,C033,2024-10-04,2400,0
P033,S033,C034,2024-10-07,2500,8
P034,S034,C035,2024-10-09,2600,0
P035,S035,C036,2024-10-12,2700,10
P036,S036,C037,2024-10-14,2800,0
P037,S037,C038,2024-10-17,2900,12
P038,S038,C039,2024-10-19,3000,0
P039,S039,C040,2024-10-22,3100,7
P040,S040,C041,2024-10-24,3200,0
P041,S041,C042,2024-11-02,3300,5
P042,S042,C043,2024-11-04,3400,0
P043,S043,C044,2024-11-07,3500,10
P044,S044,C045,2024-11-09,3600,0
P045,S045,C046,2024-11-12,3700,12
P046,S046,C047,2024-11-14,3800,0
P047,S047,C048,2024-11-17,3900,8
P048,S048,C049,2024-11-19,4000,0
P049,S049,C050,2024-11-22,4100,7
P050,S050,C001,2024-11-24,4200,0
P051,S051,C002,2024-12-02,4300,5
P052,S052,C003,2024-12-04,4400,0
P053,S053,C004,2024-12-07,4500,10
P054,S054,C005,2024-12-09,4600,0
P055,S055,C006,2024-12-12,4700,12
P056,S056,C007,2024-12-14,4800,0
P057,S057,C008,2024-12-17,4900,8
P058,S058,C009,2024-12-19,5000,0
P059,S059,C010,2024-12-22,5100,7
P060,S060,C011,2024-12-24,5200,0
P061,S061,C012,2024-12-26,5300,5
P062,S062,C013,2024-12-28,5400,0
P063,S063,C014,2024-12-30,5500,10
P064,S064,C015,2024-12-31,5600,0
P065,S065,C016,2024-12-01,5700,12
P066,S066,C017,2024-12-03,5800,0
P067,S067,C018,2024-07-06,2000,5
P068,S068,C019,2024-07-09,2100,0
P069,S069,C020,2024-07-11,2200,7
P070,S070,C021,2024-07-13,2300,0
P071,S071,C022,2024-07-16,2400,6
P072,S072,C023,2024-07-18,2500,0
P073,S073,C024,2024-07-20,2600,8
P074,S074,C025,2024-07-22,2700,0
P075,S075,C026,2024-07-25,2800,10
P076,S076,C027,2024-07-27,2900,0
P077,S077,C028,2024-07-29,3000,5
P078,S078,C029,2024-07-31,3100,0
P079,S079,C030,2024-08-02,3200,7
P080,S080,C031,2024-08-04,3300,0
P081,S081,C032,2024-08-06,3400,6
P082,S082,C033,2024-08-08,3500,0
P083,S083,C034,2024-08-10,3600,8
P084,S084,C035,2024-08-12,3700,0
P085,S085,C036,2024-08-14,3800,10
P086,S086,C037,2024-08-16,3900,0
P087,S087,C038,2024-08-18,4000,5
P088,S088,C039,2024-08-20,4100,0
P089,S089,C040,2024-08-22,4200,7
P090,S090,C041,2024-08-24,4300,0
P091,S091,C042,2024-08-26,4400,6
P092,S092,C043,2024-08-28,4500,0
P093,S093,C044,2024-08-30,4600,8
P094,S094,C045,2024-08-31,4700,0
P095,S095,C046,2024-09-02,4800,10
P096,S096,C047,2024-09-04,4900,0
P097,S097,C048,2024-09-06,5000,5
P098,S098,C049,2024-09-08,5100,0
P099,S099,C050,2024-09-10,5200,7
P100,S100,C001,2024-09-12,5300,0
