TransactionID,TransactionDate,CustomerID,ProductID,BranchID,Amount,PaymentType
S001,2024-07-05,C001,P01,B01,1500,Cash
S002,2024-07-07,C003,P02,B01,2000,Credit
S003,2024-07-08,C002,P01,B02,1800,Credit
S004,2024-07-10,C005,P03,B03,2200,Cash
S005,2024-07-12,C006,P02,B01,1700,Credit
S006,2024-07-15,C007,P01,B02,1600,Credit
S007,2024-07-17,C008,P03,B03,2100,Cash
S008,2024-07-19,C009,P01,B01,1900,Credit
S009,2024-07-21,C010,P02,B02,2000,Credit
S010,2024-07-23,C011,P03,B03,1800,Cash
S011,2024-08-01,C012,P04,B04,2200,Credit
S012,2024-08-03,C013,P01,B02,2000,Credit
S013,2024-08-05,C014,P02,B01,1700,Cash
S014,2024-08-07,C015,P03,B03,2300,Credit
S015,2024-08-09,C016,P04,B05,2100,Credit
S016,2024-08-11,C017,P01,B01,1900,Cash
S017,2024-08-13,C018,P02,B02,1800,Credit
S018,2024-08-15,C019,P03,B03,2000,Credit
S019,2024-08-17,C020,P04,B04,2200,Cash
S020,2024-08-19,C021,P01,B05,2100,Credit
S021,2024-09-01,C022,P02,B02,1900,Credit
S022,2024-09-03,C023,P03,B03,1800,Cash
S023,2024-09-05,C024,P04,B01,2000,Credit
S024,2024-09-07,C025,P01,B02,2100,Cash
S025,2024-09-09,C026,P02,B03,2200,Credit
S026,2024-09-11,C027,P03,B04,2300,Credit
S027,2024-09-13,C028,P04,B05,2400,Cash
S028,2024-09-15,C029,P01,B01,2000,Credit
S029,2024-09-17,C030,P02,B02,2100,Credit
S030,2024-09-19,C031,P03,B03,2200,Cash
S031,2024-10-01,C032,P04,B04,2300,Credit
S032,2024-10-03,C033,P01,B05,2400,Credit
S033,2024-10-05,C034,P02,B01,2500,Cash
S034,2024-10-07,C035,P03,B02,2600,Credit
S035,2024-10-09,C036,P04,B03,2700,Credit
S036,2024-10-11,C037,P01,B04,2800,Cash
S037,2024-10-13,C038,P02,B05,2900,Credit
S038,2024-10-15,C039,P03,B01,3000,Credit
S039,2024-10-17,C040,P04,B02,3100,Cash
S040,2024-10-19,C041,P01,B03,3200,Credit
S041,2024-11-01,C042,P02,B04,3300,Credit
S042,2024-11-03,C043,P03,B05,3400,Cash
S043,2024-11-05,C044,P04,B01,3500,Credit
S044,2024-11-07,C045,P01,B02,3600,Credit
S045,2024-11-09,C046,P02,B03,3700,Cash
S046,2024-11-11,C047,P03,B04,3800,Credit
S047,2024-11-13,C048,P04,B05,3900,Credit
S048,2024-11-15,C049,P01,B01,4000,Cash
S049,2024-11-17,C050,P02,B02,4100,Credit
S050,2024-11-19,C001,P03,B03,4200,Credit
S051,2024-12-01,C002,P04,B04,4300,Cash
S052,2024-12-03,C003,P01,B05,4400,Credit
S053,2024-12-05,C004,P02,B01,4500,Credit
S054,2024-12-07,C005,P03,B02,4600,Cash
S055,2024-12-09,C006,P04,B03,4700,Credit
S056,2024-12-11,C007,P01,B04,4800,Credit
S057,2024-12-13,C008,P02,B05,4900,Cash
S058,2024-12-15,C009,P03,B01,5000,Credit
S059,2024-12-17,C010,P04,B02,5100,Credit
S060,2024-12-19,C011,P01,B03,5200,Cash
S061,2024-12-21,C012,P02,B04,5300,Credit
S062,2024-12-23,C013,P03,B05,5400,Credit
S063,2024-12-25,C014,P04,B01,5500,Cash
S064,2024-12-27,C015,P01,B02,5600,Credit
S065,2024-12-29,C016,P02,B03,5700,Credit
S066,2024-12-30,C017,P03,B04,5800,Cash
S067,2024-07-06,C018,P04,B05,2000,Credit
S068,2024-07-09,C019,P01,B01,2100,Cash
S069,2024-07-11,C020,P02,B02,2200,Credit
S070,2024-07-13,C021,P03,B03,2300,Credit
S071,2024-07-16,C022,P04,B04,2400,Cash
S072,2024-07-18,C023,P01,B05,2500,Credit
S073,2024-07-20,C024,P02,B01,2600,Credit
S074,2024-07-22,C025,P03,B02,2700,Cash
S075,2024-07-25,C026,P04,B03,2800,Credit
S076,2024-07-27,C027,P01,B04,2900,Credit
S077,2024-07-29,C028,P02,B05,3000,Cash
S078,2024-07-31,C029,P03,B01,3100,Credit
S079,2024-08-02,C030,P04,B02,3200,Credit
S080,2024-08-04,C031,P01,B03,3300,Cash
S081,2024-08-06,C032,P02,B04,3400,Credit
S082,2024-08-08,C033,P03,B05,3500,Credit
S083,2024-08-10,C034,P04,B01,3600,Cash
S084,2024-08-12,C035,P01,B02,3700,Credit
S085,2024-08-14,C036,P02,B03,3800,Credit
S086,2024-08-16,C037,P03,B04,3900,Cash
S087,2024-08-18,C038,P04,B05,4000,Credit
S088,2024-08-20,C039,P01,B01,4100,Credit
S089,2024-08-22,C040,P02,B02,4200,Cash
S090,2024-08-24,C041,P03,B03,4300,Credit
S091,2024-08-26,C042,P04,B04,4400,Credit
S092,2024-08-28,C043,P01,B05,4500,Cash
S093,2024-08-30,C044,P02,B01,4600,Credit
S094,2024-08-31,C045,P03,B02,4700,Credit
S095,2024-09-02,C046,P04,B03,4800,Cash
S096,2024-09-04,C047,P01,B04,4900,Credit
S097,2024-09-06,C048,P02,B05,5000,Credit
S098,2024-09-08,C049,P03,B01,5100,Cash
S099,2024-09-10,C050,P04,B02,5200,Credit
S100,2024-09-12,C001,P01,B03,5300,Credit
